fips,county,state,lon,lat,rMapState,rMapCounty
1001,Autauga County,AL,-86.64564861,32.54009148,alabama,autauga
1003,Baldwin County,AL,-87.72627168,30.73831437,alabama,baldwin
1005,Barbour County,AL,-85.39732718,31.87402989,alabama,barbour
1007,Bibb County,AL,-87.12526047,32.99902355,alabama,bibb
1009,Blount County,AL,-86.5627114,33.99044001,alabama,blount
1011,Bullock County,AL,-85.71680363,32.10633554,alabama,bullock
1013,Butler County,AL,-86.68434696,31.75713941,alabama,butler
1015,Calhoun County,AL,-85.82956111,33.77624501,alabama,calhoun
1017,Chambers County,AL,-85.3948531,32.91633065,alabama,chambers
1019,Cherokee County,AL,-85.60421986,34.19147067,alabama,cherokee
1021,Chilton County,AL,-86.71562395,32.8516297,alabama,chilton
1023,Choctaw County,AL,-88.25953692,32.02046848,alabama,choctaw
1025,Clarke County,AL,-87.82482965,31.673326,alabama,clarke
1027,Clay County,AL,-85.85178714,33.27340969,alabama,clay
1029,Cleburne County,AL,-85.52610168,33.67621939,alabama,cleburne
1031,Coffee County,AL,-85.99444058,31.39847656,alabama,coffee
1033,Colbert County,AL,-87.81097599,34.70276047,alabama,colbert
1035,Conecuh County,AL,-86.99065443,31.43577781,alabama,conecuh
1037,Coosa County,AL,-86.24544124,32.94021362,alabama,coosa
1039,Covington County,AL,-86.45655104,31.25973186,alabama,covington
1041,Crenshaw County,AL,-86.31956157,31.73590915,alabama,crenshaw
1043,Cullman County,AL,-86.8654481,34.1382457,alabama,cullman
1045,Dale County,AL,-85.61909408,31.43086648,alabama,dale
1047,Dallas County,AL,-87.09767509,32.3267024,alabama,dallas
1049,DeKalb County,AL,-85.81226395,34.45439485,alabama,de kalb
1051,Elmore County,AL,-86.15419329,32.59892985,alabama,elmore
1053,Escambia County,AL,-87.15746525,31.13336493,alabama,escambia
1055,Etowah County,AL,-86.0334282,34.0527293,alabama,etowah
1057,Fayette County,AL,-87.73637609,33.72193461,alabama,fayette
1059,Franklin County,AL,-87.84558379,34.44338254,alabama,franklin
1061,Geneva County,AL,-85.8443776,31.09992203,alabama,geneva
